"MESES","GENERO","ENTRADAS","ANIO","ID"
"Enero","HOMBRES",59342,2011,1
"Febrero","HOMBRES",50239,2011,2
"Marzo","HOMBRES",51645,2011,3
"Abril","HOMBRES",50207,2011,4
"Mayo","HOMBRES",48784,2011,5
"Junio","HOMBRES",56139,2011,6
"Julio","HOMBRES",6431,2011,7
"Agosto","HOMBRES",56682,2011,8
"Septiembre","HOMBRES",49379,2011,9
"Octubre","HOMBRES",52476,2011,10
"Noviembre","HOMBRES",5545,2011,11
"Diciembre","HOMBRES",63132,2011,12
"Enero","MUJERES",46206,2011,13
"Febrero","MUJERES",36182,2011,14
"Marzo","MUJERES",3585,2011,15
"Abril","MUJERES",373,2011,16
"Mayo","MUJERES",34086,2011,17
"Junio","MUJERES",4381,2011,18
"Julio","MUJERES",53656,2011,19
"Agosto","MUJERES",4228,2011,20
"Septiembre","MUJERES",30711,2011,21
"Octubre","MUJERES",35881,2011,22
"Noviembre","MUJERES",37123,2011,23
"Diciembre","MUJERES",50167,2011,24
"Enero","HOMBRES",71141,2012,25
"Febrero","HOMBRES",57985,2012,26
"Marzo","HOMBRES",56791,2012,27
"Abril","HOMBRES",53435,2012,28
"Mayo","HOMBRES",54652,2012,29
"Junio","HOMBRES",67186,2012,30
"Julio","HOMBRES",71052,2012,31
"Agosto","HOMBRES",59838,2012,32
"Septiembre","HOMBRES",51219,2012,33
"Octubre","HOMBRES",57625,2012,34
"Noviembre","HOMBRES",58447,2012,35
"Diciembre","HOMBRES",67467,2012,36
"Enero","MUJERES",55975,2012,37
"Febrero","MUJERES",41536,2012,38
"Marzo","MUJERES",40157,2012,39
"Abril","MUJERES",39192,2012,40
"Mayo","MUJERES",37992,2012,41
"Junio","MUJERES",51106,2012,42
"Julio","MUJERES",59727,2012,43
"Agosto","MUJERES",46537,2012,44
"Septiembre","MUJERES",34771,2012,45
"Octubre","MUJERES",4152,2012,46
"Noviembre","MUJERES",41227,2012,47
"Diciembre","MUJERES",55323,2012,48
"Enero","HOMBRES",72325,2013,49
"Febrero","HOMBRES",59353,2013,50
"Marzo","HOMBRES",64115,2013,51
"Abril","HOMBRES",52371,2013,52
"Mayo","HOMBRES",57282,2013,53
"Junio","HOMBRES",68047,2013,54
"Julio","HOMBRES",75585,2013,55
"Agosto","HOMBRES",6284,2013,56
"Septiembre","HOMBRES",57271,2013,57
"Octubre","HOMBRES",63585,2013,58
"Noviembre","HOMBRES",64381,2013,59
"Diciembre","HOMBRES",75664,2013,60
"Enero","MUJERES",58518,2013,61
"Febrero","MUJERES",44408,2013,62
"Marzo","MUJERES",49244,2013,63
"Abril","MUJERES",35115,2013,64
"Mayo","MUJERES",41132,2013,65
"Junio","MUJERES",53695,2013,66
"Julio","MUJERES",62553,2013,67
"Agosto","MUJERES",49729,2013,68
"Septiembre","MUJERES",40103,2013,69
"Octubre","MUJERES",47932,2013,70
"Noviembre","MUJERES",47675,2013,71
"Diciembre","MUJERES",61134,2013,72
"Enero","HOMBRES",84368,2014,73
"Febrero","HOMBRES",70191,2014,74
"Marzo","HOMBRES",67212,2014,75
"Abril","HOMBRES",67904,2014,76
"Mayo","HOMBRES",66571,2014,77
"Junio","HOMBRES",72837,2014,78
"Julio","HOMBRES",84678,2014,79
"Agosto","HOMBRES",74647,2014,80
"Septiembre","HOMBRES",67346,2014,81
"Octubre","HOMBRES",72591,2014,82
"Noviembre","HOMBRES",75341,2014,83
"Diciembre","HOMBRES",86807,2014,84
"Enero","MUJERES",68205,2014,85
"Febrero","MUJERES",54393,2014,86
"Marzo","MUJERES",46794,2014,87
"Abril","MUJERES",5071,2014,88
"Mayo","MUJERES",44603,2014,89
"Junio","MUJERES",56219,2014,90
"Julio","MUJERES",69564,2014,91
"Agosto","MUJERES",57044,2014,92
"Septiembre","MUJERES",45416,2014,93
"Octubre","MUJERES",51863,2014,94
"Noviembre","MUJERES",52219,2014,95
"Diciembre","MUJERES",69468,2014,96
"Enero","HOMBRES",9321,2015,97
"Febrero","HOMBRES",69846,2015,98
"Marzo","HOMBRES",74447,2015,99
"Abril","HOMBRES",66023,2015,100
"Mayo","HOMBRES",66675,2015,101
"Junio","HOMBRES",75561,2015,102
"Julio","HOMBRES",84365,2015,103
"Agosto","HOMBRES",73812,2015,104
"Septiembre","HOMBRES",65757,2015,105
"Octubre","HOMBRES",69073,2015,106
"Noviembre","HOMBRES",72506,2015,107
"Diciembre","HOMBRES",77239,2015,108
"Enero","MUJERES",76293,2015,109
"Febrero","MUJERES",49893,2015,110
"Marzo","MUJERES",52663,2015,111
"Abril","MUJERES",45423,2015,112
"Mayo","MUJERES",45705,2015,113
"Junio","MUJERES",56488,2015,114
"Julio","MUJERES",70227,2015,115
"Agosto","MUJERES",56173,2015,116
"Septiembre","MUJERES",43697,2015,117
"Octubre","MUJERES",48454,2015,118
"Noviembre","MUJERES",4913,2015,119
"Diciembre","MUJERES",61803,2015,120
